sitecoreurl,aemurl,aemtemplate,pagegroup,pagetype
/products/wealth-accumulation/ilp/pruselect-funds/PIMCO Total Return Bond Fund,/en/products/wealth-accumulation/ilp/pruselect-funds/PIMCO Total Return Bond Fund,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-funds/Schroder Emerging Markets Fund,/en/products/wealth-accumulation/ilp/pruselect-funds/Schroder Emerging Markets Fund,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-funds/Schroder ISF Asian Bond Absolute Return,/en/products/wealth-accumulation/ilp/pruselect-funds/Schroder ISF Asian Bond Absolute Return,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-funds/Schroder ISF China Opportunities,/en/products/wealth-accumulation/ilp/pruselect-funds/Schroder ISF China Opportunities,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-funds/Schroder Singapore Trust,/en/products/wealth-accumulation/ilp/pruselect-funds/Schroder Singapore Trust,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-funds/Templeton Asian Growth Fund,/en/products/wealth-accumulation/ilp/pruselect-funds/Templeton Asian Growth Fund,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/compare,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/compare,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/AB FCP I Global High Yield Portfolio,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/AB FCP I Global High Yield Portfolio,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/AB FCP I Global High Yield Portfolio USD,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/AB FCP I Global High Yield Portfolio USD,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/AB FCP I Global Value Portfolio Class A,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/AB FCP I Global Value Portfolio Class A,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/AB FCP I Global Value Portfolio Class A Hedged,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/AB FCP I Global Value Portfolio Class A Hedged,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/AB Global Plus Fixed Income Portfolio Class A2 Hedged,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/AB Global Plus Fixed Income Portfolio Class A2 Hedged,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/abrdn Global Emerging Markets Fund,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/abrdn Global Emerging Markets Fund,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/abrdn Global Sustainable Equity Fund,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/abrdn Global Sustainable Equity Fund,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/abrdn India Opportunities Fund,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/abrdn India Opportunities Fund,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/abrdn Singapore Equity Fund,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/abrdn Singapore Equity Fund,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/abrdn Thailand Equity Fund,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/abrdn Thailand Equity Fund,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/Allianz Oriental Income,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/Allianz Oriental Income,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/Allianz Oriental Income USD,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/Allianz Oriental Income USD,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/Blackrock Global Funds Asian Dragon Fund A2,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/Blackrock Global Funds Asian Dragon Fund A2,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/Blackrock Global Funds Asian Dragon Fund A2 Hedged,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/Blackrock Global Funds Asian Dragon Fund A2 Hedged,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/Blackrock Global Funds Asian Tiger Bond Fund Class A2,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/Blackrock Global Funds Asian Tiger Bond Fund Class A2,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/Blackrock Global Funds Asian Tiger Bond Fund Class A2 Hedged,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/Blackrock Global Funds Asian Tiger Bond Fund Class A2 Hedged,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/Blackrock Global Funds Emerging Europe Fund A2,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/Blackrock Global Funds Emerging Europe Fund A2,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/Blackrock Global Funds Emerging Europe Fund A2 Hedged,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/Blackrock Global Funds Emerging Europe Fund A2 Hedged,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/Blackrock Global Funds European Fund A2,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/Blackrock Global Funds European Fund A2,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/Blackrock Global Funds European Fund A2 Hedged,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/Blackrock Global Funds European Fund A2 Hedged,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/Blackrock Global Funds Fixed Income Global Opportunities Fund A2 Hedged,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/Blackrock Global Funds Fixed Income Global Opportunities Fund A2 Hedged,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/Blackrock Global Funds Global Allocation Fund A2,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/Blackrock Global Funds Global Allocation Fund A2,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/Blackrock Global Funds Global Allocation Fund A2 Hedged,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/Blackrock Global Funds Global Allocation Fund A2 Hedged,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/BlackRock Global Funds Global Multi Asset Income Fund A2,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/BlackRock Global Funds Global Multi Asset Income Fund A2,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/Blackrock Global Funds Latin American Fund A2,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/Blackrock Global Funds Latin American Fund A2,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/Blackrock Global Funds Latin American Fund A2 Hedged,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/Blackrock Global Funds Latin American Fund A2 Hedged,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/Blackrock Global Funds World Gold Fund A2,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/Blackrock Global Funds World Gold Fund A2,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/Blackrock Global Funds World Gold Fund A2 Hedged,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/Blackrock Global Funds World Gold Fund A2 Hedged,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/Blackrock Global Funds World Mining Fund A2,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/Blackrock Global Funds World Mining Fund A2,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/Blackrock Global Funds World Mining Fund A2 Hedged,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/Blackrock Global Funds World Mining Fund A2 Hedged,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/Eastspring Investments Asian Equity Fund,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/Eastspring Investments Asian Equity Fund,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/Eastspring Investments Asian Equity Fund USD,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/Eastspring Investments Asian Equity Fund USD,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/Eastspring Investments Asian Equity Income Fund,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/Eastspring Investments Asian Equity Income Fund,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/Eastspring Investments Asian Equity Income Fund USD,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/Eastspring Investments Asian Equity Income Fund USD,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/Eastspring Investments Japan Dynamic Fund Class As hedged,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/Eastspring Investments Japan Dynamic Fund Class As hedged,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/Eastspring Investments Unit Trusts Asian Balanced Fund,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/Eastspring Investments Unit Trusts Asian Balanced Fund,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/Eastspring Investments Unit Trusts Dragon Peacock Fund,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/Eastspring Investments Unit Trusts Dragon Peacock Fund,Custom Page,custom,ilp-fund
/products/wealth-accumulation/ilp/pruselect-vantage-funds/Eastspring Investments Unit Trusts Global Technology Fund,/en/products/wealth-accumulation/ilp/pruselect-vantage-funds/Eastspring Investments Unit Trusts Global Technology Fund,Custom Page,custom,ilp-fund
